spec_mz_index,oli_mass_index,delta_ppm
20,94,1.4462703481483734
23,100,1.4439977398062818
26,103,1.5434614532772157
29,107,1.1606272577764072
49,110,1.724300660394168
50,111,1.8105913730001146
53,113,9.887158385628862
62,114,2.4411478628289722
65,115,1.9590540878472138
68,116,2.203951730056207
71,117,2.460567679410919
95,118,1.902092702138204
107,119,2.177693646477738
125,120,2.3645343857002517
141,121,1.225120621563646
145,122,1.1745100035598122
158,123,1.6601842669678388
179,124,1.3246006940894177
183,125,1.2833037332740163
197,126,1.6484395815060067
211,127,1.4209609789921003
214,128,1.3198853483842707
215,129,1.6572839972763604
216,130,0.354864482468526
219,131,1.342938557376697
223,132,1.0666407635393989
227,133,0.8775863816549613
229,134,1.9501737030258384
